,Invoice_ID,Client_Name,Billing_Clerk,Region,Freight_Amount,Billed_Amount,Status,Region_Manager,Date_Processed,Error_Flag
0,INV1000,Quickmove,John D,Calgary,3702.07,3702.07,Pending,Steve,2023-05-22,False
1,INV1001,Ab Trucks,Ravi K,Windsor,1955.52,1955.52,Approved,Kathy,2023-01-21,False
2,INV1002,Greenline,John D,Montreal,4311.45,4311.45,Pending,Nora,2023-04-18,False
3,INV1003,Quickmove,Sonia M,Windsor,2216.41,2216.41,Pending,Kathy,2023-05-18,False
4,INV1004,Fastship,Sonia M,Calgary,296.2,296.2,Flagged,Steve,2023-07-07,False
5,INV1005,Greenline,Ravi K,Montreal,185.08,169.08,Pending,Nora,2023-03-25,True
6,INV1006,Greenline,Alex P,Windsor,3269.04,3269.04,Flagged,Kathy,2023-06-14,False
7,INV1007,Quickmove,Naman Goyal,Montreal,2748.71,2748.71,Approved,Nora,2023-05-20,False
8,INV1008,Xyz Ltd,Alex P,Calgary,2759.45,2759.45,Pending,Steve,2023-10-01,False
9,INV1009,Fastship,Alex P,Montreal,3971.04,3971.04,Flagged,Nora,2023-10-21,False
10,INV1010,Quickmove,Alex P,Calgary,1941.03,1941.03,Flagged,Steve,2023-05-16,False
11,INV1011,Fastship,Alex P,Montreal,4977.69,4977.69,Approved,Nora,2023-03-10,False
12,INV1012,Fastship,Leah T,Montreal,4733.1,4733.1,Pending,Nora,2023-10-14,False
13,INV1013,Greenline,Naman Goyal,Toronto,163.51,189.51,Flagged,David,2023-06-14,True
14,INV1014,Ab Trucks,Leah T,Calgary,4489.14,4489.14,Pending,Steve,2023-05-30,False
15,INV1015,Fastship,John D,Vancouver,3434.69,3454.69,Flagged,Maria,2023-09-28,True
16,INV1016,Roadx,Alex P,Montreal,2560.24,2521.24,Flagged,Nora,2023-02-22,True
17,INV1017,Greenline,Sonia M,Windsor,2955.46,2955.46,Flagged,Kathy,2023-06-02,False
18,INV1018,Xyz Ltd,Ravi K,Toronto,4225.1,4225.1,Pending,David,2023-05-16,False
19,INV1019,Ab Trucks,Ravi K,Toronto,4760.08,4760.08,Pending,David,2023-04-23,False
20,INV1020,Roadx,Leah T,Montreal,2845.63,2845.63,Pending,Nora,2023-05-12,False
21,INV1021,Roadx,Leah T,Vancouver,988.33,949.33,Pending,Maria,2023-03-31,True
22,INV1022,Xyz Ltd,Sonia M,Toronto,3234.79,3234.79,Pending,David,2023-07-03,False
