Invoice_ID,Client_Name,Billing_Clerk,Region,Freight_Amount,Billed_Amount,Status,Region_Manager,Date_Processed,Error_Flag
INV1000,QuickMove,John D,Calgary,3702.07,3702.07,Pending,Steve,2023-05-22,No
INV1001,AB Trucks,Ravi K,Windsor,1955.52,1955.52,Approved,Kathy,2023-01-21,Yes
INV1002,GreenLine,John D,Montreal,4311.45,4311.45,Pending,Nora,2023-04-18,No
INV1003,QuickMove,Sonia M,Windsor,2216.41,2216.41,Pending,Kathy,2023-05-18,No
INV1004,FastShip,Sonia M,Calgary,296.2,296.2,Flagged,Steve,2023-07-07,No
INV1005,GreenLine,Ravi K,Montreal,185.08,169.08,,Nora,2023-03-25,Yes
INV1006,GreenLine,Alex P,Windsor,3269.04,3269.04,Flagged,Kathy,2023-06-14,No
INV1007,QuickMove,Naman Goyal,Montreal,2748.71,2748.71,Approved,Nora,2023-05-20,No
INV1008,XYZ Ltd,Alex P,Calgary,2759.45,2759.45,Pending,Steve,2023-10-01,No
INV1009,FastShip,Alex P,Montreal,3971.04,3971.04,Flagged,Nora,2023-10-21,No
INV1010,QuickMove,Alex P,Calgary,1941.03,1941.03,Flagged,Steve,2023-05-16,No
INV1011,FastShip,Alex P,Montreal,4977.69,4977.69,Approved,Nora,2023-03-10,No
INV1012,FastShip,Leah T,Montreal,4733.1,4733.1,Pending,Nora,2023-10-14,No
INV1013,GreenLine,Naman Goyal,Toronto,163.51,189.51,Flagged,David,2023-06-14,Yes
INV1014,AB Trucks,Leah T,Calgary,4489.14,4489.14,Pending,Steve,2023-05-30,No
INV1015,FastShip,John D,Vancouver,3434.69,3454.69,Flagged,Maria,2023-09-28,Yes
INV1016,RoadX,Alex P,Montreal,2560.24,2521.24,Flagged,Nora,2023-02-22,Yes
INV1017,GreenLine,Sonia M,Windsor,2955.46,2955.46,Flagged,Kathy,2023-06-02,No
INV1018,XYZ Ltd,Ravi K,Toronto,4225.1,4225.1,Pending,David,2023-05-16,No
INV1019,AB Trucks,Ravi K,Toronto,4760.08,4760.08,Pending,David,2023-04-23,No
INV1020,RoadX,Leah T,Montreal,2845.63,2845.63,Pending,Nora,2023-05-12,No
INV1021,RoadX,Leah T,Vancouver,988.33,949.33,Pending,Maria,2023-03-31,Yes
INV1022,XYZ Ltd,Sonia M,Toronto,3234.79,3234.79,Pending,David,,No
INV1023,,Alex P,Calgary,473.47,473.47,,Steve,2023-10-19,No
INV1024,GreenLine,Naman Goyal,Montreal,3212.18,3212.18,Pending,Nora,2023-10-08,No
INV1025,ABC Corp,John D,Montreal,4062.2,4062.2,Approved,Nora,2023-08-09,No
INV1026,AB Trucks,Ravi K,Vancouver,1831.32,1831.32,Pending,Maria,2023-03-12,No
INV1027,XYZ Ltd,John D,Calgary,448.8,448.8,Pending,Steve,2023-10-21,No
INV1028,RoadX,Naman Goyal,Calgary,3491.91,3491.91,Approved,Steve,2023-12-07,No
INV1029,GreenLine,Leah T,Vancouver,1762.71,1771.71,Approved,Maria,2023-10-19,Yes
INV1030,AB Trucks,Ravi K,Windsor,1320.57,1320.57,Pending,Kathy,2023-05-11,No
INV1031,ABC Corp,John D,Calgary,3476.99,3476.99,Pending,Steve,2023-08-30,No
INV1032,ABC Corp,Leah T,Windsor,4850.97,4850.97,Pending,Kathy,2023-11-23,No
INV1033,FastShip,Naman Goyal,Windsor,3752.08,3752.08,Approved,Kathy,2023-06-09,No
INV1034,FastShip,John D,Montreal,2507.62,2507.62,Flagged,Nora,2023-12-01,No
INV1035,,Alex P,Montreal,3042.5,3042.5,Flagged,Nora,2023-05-29,No
INV1036,XYZ Ltd,Leah T,Toronto,797.17,797.17,Flagged,David,2023-01-19,No
INV1037,AB Trucks,Naman Goyal,Montreal,4084.75,4084.75,Flagged,Nora,2023-03-23,No
INV1038,AB Trucks,John D,Calgary,3061.05,3061.05,Flagged,Steve,2023-06-13,No
INV1039,QuickMove,Alex P,Calgary,4832.57,4832.57,Pending,Steve,2023-10-05,No
INV1040,RoadX,Alex P,Windsor,4899.47,4899.47,Flagged,Kathy,2023-11-15,No
INV1041,RoadX,Naman Goyal,Calgary,1837.47,1837.47,Pending,Steve,2023-01-30,Yes
INV1042,QuickMove,Sonia M,Montreal,4943.88,4943.88,Approved,Nora,2023-09-15,Yes
INV1043,RoadX,Ravi K,Montreal,4788.48,4788.48,Approved,Nora,2023-02-23,No
INV1044,FastShip,Naman Goyal,Montreal,3235.18,3215.18,Flagged,Nora,2023-05-19,Yes
INV1045,AB Trucks,Alex P,Vancouver,1733.98,1733.98,Approved,Maria,2023-12-06,No
INV1046,QuickMove,Alex P,Calgary,3791.37,3791.37,Pending,Steve,2023-05-12,No
INV1047,AB Trucks,Naman Goyal,Toronto,1429.06,1429.06,Flagged,David,2023-10-22,No
INV1048,ABC Corp,Sonia M,Calgary,3186.24,3186.24,Flagged,Steve,2023-04-13,No
INV1049,FastShip,Ravi K,Calgary,220.45,241.45,Pending,Steve,2023-07-27,Yes
INV1050,GreenLine,John D,Vancouver,3180.06,3180.06,Pending,Maria,2023-08-04,No
INV1051,FastShip,Naman Goyal,Calgary,4762.88,4762.88,Pending,Steve,2023-10-26,Yes
INV1052,QuickMove,Ravi K,Windsor,1252.2,1252.2,Flagged,Kathy,2023-01-30,No
INV1053,GreenLine,Ravi K,Montreal,3913.08,3913.08,Approved,Nora,2023-07-07,No
INV1054,ABC Corp,Leah T,Montreal,1537.78,1537.78,Approved,Nora,2023-04-07,No
INV1055,QuickMove,Alex P,Vancouver,3568.46,3568.46,Approved,Maria,2023-07-06,No
INV1056,XYZ Ltd,John D,Montreal,3529.86,3529.86,Approved,Nora,2023-08-14,No
INV1057,AB Trucks,Naman Goyal,Windsor,1005.21,1016.21,Flagged,Kathy,2023-12-04,Yes
INV1058,ABC Corp,Alex P,Vancouver,3025.93,3013.93,Pending,Maria,2023-10-09,Yes
INV1059,AB Trucks,Leah T,Toronto,4309.93,4309.93,Approved,David,2023-08-18,No
INV1060,RoadX,Leah T,Montreal,1974.41,1974.41,Flagged,Nora,2023-05-01,No
INV1061,XYZ Ltd,Alex P,Calgary,3580.36,3580.36,Flagged,Steve,2023-05-25,No
INV1062,XYZ Ltd,Sonia M,Windsor,3404.71,3404.71,Approved,Kathy,2023-01-26,Yes
INV1063,ABC Corp,Ravi K,Windsor,1361.82,1361.82,Pending,Kathy,2023-07-17,No
INV1064,XYZ Ltd,Naman Goyal,Montreal,4601.35,4601.35,Pending,Nora,2023-01-09,No
INV1065,GreenLine,Naman Goyal,Toronto,2861.21,2861.21,Flagged,David,2023-01-15,No
INV1066,XYZ Ltd,Naman Goyal,Calgary,1840.93,1840.93,Pending,Steve,2023-10-03,No
INV1067,AB Trucks,Alex P,Toronto,905.36,905.36,Flagged,David,2023-01-24,No
INV1068,AB Trucks,Sonia M,Toronto,2419.95,2419.95,Pending,David,2023-06-05,No
INV1069,QuickMove,John D,Montreal,3677.56,3677.56,Approved,Nora,2023-10-11,No
INV1070,AB Trucks,Leah T,Calgary,3155.84,3155.84,Pending,Steve,2023-04-22,No
INV1071,QuickMove,Alex P,Montreal,3662.56,3662.56,Approved,Nora,2023-03-25,No
INV1072,AB Trucks,John D,Montreal,3979.63,3979.63,Approved,Nora,2023-02-19,No
INV1073,GreenLine,Leah T,Windsor,2260.92,2260.92,Flagged,Kathy,2023-09-17,No
INV1074,QuickMove,Leah T,Montreal,2648.81,2648.81,Approved,Nora,2023-10-14,Yes
